"Filenames" "Genotype"
"23" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4641.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4641.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"24" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4643.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4643.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"25" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4644.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4644.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"26" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4685.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4685.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"27" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4691.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4691.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"28" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4692.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4692.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"29" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4697.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4697.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"30" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4731.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4731.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"31" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4784.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4784.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"32" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4786.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4786.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"33" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4788.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4788.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"34" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4809.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4809.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"35" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4820.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4820.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"36" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4823.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4823.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"37" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4827.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4827.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"38" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4828.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4828.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"39" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4830.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4830.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"40" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_5022.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_5022.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
